query,pos_similar,neg_similar
"Cho các trường_hợp sau : 
 
 
 ( 1 ) Dùng kim kích_thích vào thân của thủy_tức . 
 
 ( 2 ) Dùng kim kích_thích vào một chi của châu_chấu . 
 
 Hãy dự_đoán phản_ứng của thủy_tức và châu_chấu khi bị kích_thích . 
","- Hãy cho biết con thủy_tức sẽ phản_ứng như thế_nào khi ta dùng một chiếc kim nhọn châm vào nó . 
 
 - Phản_ứng của thủy_tức có phải là phản_xạ không ? Tại_sao ? 
 
 
","dùng gai nhọn châm vào thân con thủy_tức , thủy_tức sẽ co toàn_thân để tránh kích_thích . bộ_phận phân_tích và tổng_hợp của phản_ứng trên là 
 
 A. tế_bào biểu mô_cơ 
 B. tế_bào cảm_giác 
 C. Toàn_thân 
 D . lưới thần_kinh ."
"Hai xạ_thủ cùng bắn mỗi người một viên đạn vào bia một_cách độc_lập với nhau . Xác_suất bắn trúng bia của hai xạ_thủ lần_lượt là \ frac { 1 } { 2 } và \ frac { 1 } { 3 } . Tính xác_suất của biến_cố Y : "" có ít_nhất một xạ_thủ không bắn trúng bia "" 
 A. \ frac { 1 } { 6 } 
 B. \ frac { 5 } { 6 } 
 C. \ frac { 1 } { 3 } 
 D. \ frac { 1 } { 2 }", ,"Trong một cuộc thi tiếng Anh , học_sinh cần trả_lời 100 câu trắc_nghiệm , mỗi câu trả_lời đúng được 5 điểm , mỗi câu trả_lời sai ( hoặc không trả_lời ) bị trừ 2 điểm . Bình đã tham_gia cuộc thi trên và đã ghi được tổng_cộng là 325 điểm . Hỏi_Bình đã trả_lời đúng mấy câu ?"
"Help me plz , ai trả_lời đúng vote 5 sao ạ ! Chứng_minh công_thức giữa vận_tốc ném lên theo phương thẳng_đứng và độ cao đạt được là : v0 ^ 2 = 2 . gh * Lưu_ý : Chọn chiều dương là chiều từ trên xuống không phải là chiều từ dưới lên * Gợi_ý : Liên_hệ công_thức s = v0 . t + 1 / 2at ^ 2", ,"Cho các công_thức sau : s = v0 . t + 1 / 2at ^ 2 và v0 ^ 2 = 2gh . Hãy chọn câu trả_lời đúng dựa trên công_thức đã cho . 
 A. s = v0 . t + 1 / 2at ^ 2 
 B. v0 ^ 2 = 2gh 
 C. cả hai công_thức đều đúng 
 D. cả hai công_thức đều sai"
"Tiến_hành các thí_nghiệm sau : - Thí_nghiệm 1 : Cho thanh Fe vào dung_dịch H2SO4 loãng . - Thí_nghiệm 2 : Nhúng thanh Fe vào dung_dịch H2SO4 loãng có thêm vài giọt dung_dịch CuSO4 . - Thí_nghiệm 3 : Nhúng thanh Cu vào dung_dịch FeCl3 . - Thí_nghiệm 4 : Nhúng thanh Fe vào dung_dịch FeCl3 . Số trường_hợp ăn_mòn điện_hóa là : 
 A. 2 
 B. 1 
 C. 4 
 D. 3", ,"Tiến_hành các thí_nghiệm sau : - Thí_nghiệm 1 : Cho thanh Cu vào dung_dịch HNO3 loãng . - Thí_nghiệm 2 : Nhúng thanh Fe vào dung_dịch H2SO4 loãng có thêm vài giọt dung_dịch Zn . - Thí_nghiệm 3 : Nhúng thanh Zn vào dung_dịch FeCl3 . - Thí_nghiệm 4 : Nhúng thanh Cu vào dung_dịch FeCl3 . Số trường_hợp không xảy ra ăn_mòn điện_hóa là : 
 A. 2 
 B. 1 
 C. 3 
 D. 4"
"Trong quá_trình dịch mã , phân_tử nào sau đây đóng vai_trò như “ người phiên_dịch ” ? 
 A._ADN 
 B._tARN 
 C._rARN 
 D._mARN","MiRNA là phân_tử nào trong quá_trình dịch mã có vai_trò như "" người phiên_dịch "" ? 
 A._ADN 
 B._tARN 
 C._rARN 
 D._mARN", 
"Xác_định tên ba cơ_quan mà thức_ăn không đi qua . 
 A. Thực_quản , dạ_dày và ruột_già . 
 B. Túi_mật , gan và tuyến_tụy . 
 C. Miệng , ruột_non và ruột_già . 
 D. Miệng , dạ_dày và hậu_môn .","
","1 . Tiêu_hóa gồm những cơ_quan nào ? Chức_năng của từng cơ_quan trong hoạt_động tiêu_hóa thức_ăn ? 
 2 . Vì_sao nói cơ_quan trong hệ tiêu_hóa đã phối_hợp và thống_nhất vs nhau trong quá_trình biến_đổi thức_ăn ? 
"
Hai điểm M và N gần một dòng_điện thẳng dài . Khoảng_cách từ M đến dòng_điện lớn gấp hai lần khoảng_cách từ N đến dòng_điện . Biết cảm_ứng từ tại M có độ lớn là BM = 2.10 – 5 T. Tính độ lớn của cảm_ứng từ tại N.,Hai điểm P và Q gần một dòng_điện thẳng dài . Khoảng_cách từ P đến dòng_điện lớn gấp ba lần khoảng_cách từ Q đến dòng_điện . Biết cảm_ứng từ tại P có độ lớn là BP = 5.10 – 5 T. Tính độ lớn của cảm_ứng từ tại Q., 
Phân_tích nhiễm sắc_thể giới_tính và nhiễm sắc_thể thường ?,So_sánh nhiễm sắc_thể giới_tính và nhiễm sắc_thể thường ., 
"Đơn_giản biểu_thức rồi tính giá_trị của chúng a ) 3 ( 2a - 1 ) + 5 ( 3 - a ) với a = - 3 / 2 b ) 25x - 4 ( 3x - 1 ) + 7 ( 5 - 2x ) với x = 2,1 c ) 4a - 2 ( 10a - 1 ) + 8a - 2 với a = 2,1 d ) 12 ( 2 - 3b ) + 35b - 9 ( b + 1 ) với b = 1 / 2 GIÚP MÌNH VỚI Ạ MÌNH SẮP NỘP CHO CÔ RỒI HUHU ^ ^", ,Đơn_giản biểu_thức và tính giá_trị của chúng a ) 3 ( - 3 / 2 - 1 ) + 5 ( 3 + 3 / 2 ) b ) 25 ( 2.1 ) - 4 ( 6.3 - 1 ) + 7 ( 5 - 2 ( 2.1 ) ) c ) 4 ( 2.1 ) - 2 ( 20 ( 2.1 ) - 1 ) + 8 ( 2.1 ) - 2 d ) 12 ( 2 - 3 ( 1 / 2 ) ) + 35 ( 1 / 2 ) - 9 ( ( 1 / 2 ) + 1 )
"Lấy tỉ_lệ giữa trọng_lượng với khối_lượng là g = 9,8 m / s2 . Một hợp_kim A được tạo nên từ các kim_loại đồng và bạc . Tỉ_lệ khối_lượng đồng và bạc trong hợp_kim lần_lượt là 80 % và 20 % . a ) Tìm khối_lượng riêng của hợp_kim A_b ) Một hợp_kim B được tạo nên từ kim_loại vàng và hợp_kim A nêu trên . Hợp_kim B được dùng để chế_tạo một chiếc vương_miện . Chiếc vương_miện hoàn_toàn đặc . Chiếc vương_miện có khối_lượng là 75g và thể_tích là 5cm3 . Tìm khối_lượng của vàng trong vương_miện . Khối_lượng riêng của đồng là 8,9 g / cm3 , của bạc là 15,5 g / cm3 , của vàng là 19,3 g / cm3","1 . Tỉ_lệ giữa trọng_lượng với khối_lượng là g = 9,8 m / s2 . Một hợp_kim A được tạo nên từ các kim_loại đồng và bạc . Biết tỉ_lệ khối_lượng đồng và bạc trong hợp_kim là 70 % và 30 % lần_lượt . Tìm khối_lượng riêng của hợp_kim A. Tỉ_lệ khối_lượng của vàng và hợp_kim A trong hợp_kim B là 60 % và 40 % . Hợp_kim B có khối_lượng là 90g và thể_tích là 10cm3 . Tính khối_lượng của vàng trong hợp_kim B. ( Khối_lượng riêng của đồng là 8,9 g / cm3 , của bạc là 15,5 g / cm3 , của vàng là 19,3 g / cm3 )", 
"Với loài kiến nâu , nếu đẻ trứng ở nhiệt_độ thấp hơn 20 độ C thì trứng nở ra toàn là cá_thể cái ; nếu đẻ trứng ở nhiệt_độ trên 20 độ C thì trứng nở ra hầu_hết là cá_thể đực là ví_dụ chứng_tỏ nhân_tố nào đã ảnh_hưởng tới tỉ_lệ giới_tính ? 
 A._Tập_tính sinh_sản . 
 B. Dinh_dưỡng . 
 C. Sinh_thái sinh_sản . 
 D. Nhiệt_độ .", ,"Cho các hiện_tượng sau : 1 . Trứng ruồi nở thành dòi , sau đó phát_triển thành nhộng 2 . Trứng muỗi nở cung_quăng , rồi phát_triển thành muỗi trưởng_thành 3 . Mẹ đẻ ra em bé trai , em bé lớn lên . 4 . Ếch đẻ trứng , nở nòng_nọc , rồi phát_triển thành ếch con . Có bao_nhiêu hình_thức được gọi là phát_triển qua biến_thái ? 
 A. 2 
 B. 1 
 C. 4 
 D. 3"
"Gen A có chiều dài 510nm bị đột_biến điểm trở_thành alen A. Nếu alen a có 3721 liên_kết hiđro thì có bao_nhiêu phát_biểu sau đây đúng ? I. Nếu alen a có chiều dài 510,34 nm thì chứng_tỏ đột_biến thêm 1 cặp nuclêôtit . II. Nếu alen A có tổng_số 3720 liên_kết hiđro thì chứng_tỏ đột_biến thay_thế cặp A - T bằng cặp G - X. III. Nếu alen a có 779 số nuclêôtit loại T thì chứng_tỏ alen a dài 510 nm . IV. Nếu alen a có 721 số nuclêôtit loại X thì chứng_tỏ đây là đột_biến thay_thế một cặp nuclêôtit . 
 A. 1 
 B. 2 
 C. 3 
 D. 4","Gen A có chiều dài 510nm bị đột_biến điểm trở_thành alen A. Nếu alen a có 3721 liên_kết hiđro thì có bao_nhiêu phát_biểu sau đây sai ? I. Nếu alen a có chiều dài 510,34 nm thì chứng_tỏ đột_biến thêm 1 cặp nuclêôtit . II. Nếu alen A có tổng_số 3720 liên_kết hiđro thì chứng_tỏ đột_biến thay_thế cặp A - T bằng cặp G - X. III. Nếu alen a có 779 số nuclêôtit loại T thì chứng_tỏ alen a dài 510 nm . IV. Nếu alen a có 721 số nuclêôtit loại X thì chứng_tỏ đây là đột_biến thay_thế một cặp nuclêôtit . 
 A. 1 
 B. 2 
 C. 3 
 D. 4", 
"Tìm x : a . x² + 3² = 5² 
 b . ( x - 3 ) ² = 4","Tìm x : a . x² + 6² = 7² 
 b . ( x - 7 ) ² = 9", 
"Cho các chất có công_thức phân_tử sau : C2H4 , C2H6 , C3H6 , C2H2 , CH4 a . Viết công_thức cấu_tạo và nêu đặc_điểm liên_kết của các chất trên . b . viết phương_trình biểu_diễn : ( ghi điều_kiện phản_ứng nếu có ) - phản_ứng cháy - phản_ứng thế với clo khi có ánh_sáng . - phản_ứng cộng với dung_dịch brom - phản_ứng trùng_hợp","A. Xác_định công_thức cấu_tạo và mô_tả đặc_điểm liên_kết của các chất sau : C2H4 , C2H6 , C3H6 , C2H2 , CH4 . 
 b . Viết phương_trình biểu_diễn các phản_ứng sau đây cho các chất trên ( ghi rõ điều_kiện phản_ứng nếu có ) : 
 - Phản_ứng cháy . 
 - Phản_ứng thế với clo trong ánh_sáng . 
 - Phản_ứng cộng với dung_dịch brom . 
 - Phản_ứng trùng_hợp .", 
Trình_bày cấu_trúc của lục lạp phù_hợp với chức_năng của nó ., ,Mô_tả cấu_trúc của nhân tế_bào ?
Phân_tích các đặc_điểm cấu_tạo ngoài của thỏ và thích_nghi vs điều_kiện sống và tập_tính lảnh trốn kẻ_thù,Tóm_tắt các đặc_điểm cấu_tạo ngoài của thỏ và giải_thích chúng làm_sao giúp thỏ thích_nghi với môi_trường sống và tập_tính lảnh trốn kẻ_thù ., 
"Theo học_thuyết tiến_hóa tổng_hợp hiện_đại , phát_biểu nào sau đây đúng khi nói về chọn_lọc tự_nhiên ? 
 A. Chọn_lọc tự_nhiên không bao_giờ đào_thải hết alen trội gây chết ra khỏi quần_thể 
 B. Chọn_lọc tự_nhiên thực_chất là quá_trình phân_hóa khả_năng sống_sót và khả_năng sinh_sản của các cá_thể với các kiểu gen khác nhau trong quần_thể 
 C. Chọn_lọc chống lại alen lặn làm thay_đổi tần_số alen nhanh hơn so với chọn_lọc chống lại alen trội 
 D. Chọn_lọc tự_nhiên tác_động trực_tiếp lên kiểu gen , từ đó làm thay_đổi tần_số alen của quần_thể","Theo học_thuyết tiến_hóa tổng_hợp hiện_đại , phát_biểu nào sau đây sai khi nói về chọn_lọc tự_nhiên ? 
 A. Chọn_lọc tự_nhiên đào_thải hết alen trội gây chết ra khỏi quần_thể 
 B. Chọn_lọc tự_nhiên không phụ_thuộc vào khả_năng sống_sót và sinh_sản của các cá_thể 
 C. Chọn_lọc chống lại alen lặn làm thay_đổi tần_số alen nhanh hơn so với chọn_lọc chống lại alen trội 
 D. Chọn_lọc tự_nhiên tác_động trực_tiếp lên kiểu gen , từ đó làm thay_đổi tần_số alen của quần_thể", 
"Cho các muối : ( 1 ) NaHCO3 , ( 2 ) K2HPO4 , ( 3 ) Na2HPO3 , ( 4 ) NH4HS , ( 5 ) KHSO4 . Số muối có_thể tác_dụng với dung_dịch bazơ tương_ứng tạo muối trung hòa là 
 A. 5 
 B. 3 
 C. 4 
 D. 2", ,"Có bao_nhiêu muối trong số các muối sau đây có_thể tác_dụng với dung_dịch bazơ tương_ứng để tạo ra muối trung_hòa ? 
 A. 2 
 B. 3 
 C. 4 
 D. 5"
A ) x ^ 2 - 9y ^ 2 b ) 4 / 25 - 36y ^ 2 c ) ( x + 5 ) ^ 2 - 16 d ) 49a ^ 2 - ( 3a - b ) ^ 2 e ) ( 2x + 3 ) ^ 2 - ( x - 7 ) ^ 2 f ) 4 ( x - y ) ^ 2 - ( 3x + y ) ^ 2 Vận_dụng hằng đẳng_thức A ^ 2 KHÁC 2AB + B ^ 2 = ( A KHÁC B ) ^ 2 Làm hết từng bước ko làm tắt,A ) x ^ 2 - 9y ^ 2 b ) 4 / 25 - 36y ^ 2 c ) ( x + 5 ) ^ 2 - 16 d ) 49a ^ 2 - ( 3a - b ) ^ 2 e ) ( 2x + 3 ) ^ 2 - ( x - 7 ) ^ 2 f ) 4 ( x - y ) ^ 2 - ( 3x + y ) ^ 2 Vận_dụng hằng đẳng_thức A ^ 2 KHÁC 2AB + B ^ 2 = ( A KHÁC B ) ^ 2 Làm hết từng bước không sử_dụng hằng đẳng_thức điều_kiện A KHÁC B = | A - B | + | A + B |, 
Tìm giá_trị nhỏ nhất a ) A = x ^ 2 - 2x + y ^ 2 - 4y + 7 b ) B = 2x ^ 2 + 2xy + 2y ^ 2 - 2x + 2y + 1, ,Tìm giá_trị nhỏ nhất a ) A = x ^ 2 + 3x + y ^ 2 + 6y + 10 b ) B = 4x ^ 2 + 4xy + 4y ^ 2 + 5x + 5y + 3
Nêu vai_trò của lớp thú, ,Nêu vai_trò của lớp thực_vật ?
"Cho m = 2 ^ { 2 } . 3.5 và n = 2.3 ^ { 2 } . 5 . Tìm BCNN ( m , n ) : 
 A. 30 . 
 B. 60 . 
 C. 90 . 
 D. 180 .", ,"Tìm BCNN ( 13 , 29 ) : 
 A. 1 . 
 B. 13 . 
 C. 29 . 
 D. 377 ."
"Phát_biểu nào sau đây đúng khi nói về sự phát_sinh_sự sống trên trái_đất ? 
 A. Trong tiến_hóa tiền sinh_học có sự tạo ra các hợp_chất hữu_cơ cho các sinh_vật dị_dưỡng 
 B. Trong giai_đoạn tiến_hóa_hóa học , các hợp_chất hữu_cơ đơn_giản và phức_tạp được hình_thành nhờ các nguồn năng_lượng tự_nhiên 
 C. Kết_quả quan_trọng của giai_đoạn tiến_hóa sinh_học là hình_thành dạng sống đơn_giản đầu_tiên 
 D. Những mầm sống đầu_tiên xuất_hiện ở trong khí_quyển nguyên_thủy", ,"Nguồn năng_lượng dùng để tổng_hợp các phân_tử hữu_cơ hình_thành sự sống là : 
 A._ATP 
 B. Năng_lượng sinh_học 
 C. Năng_lượng tự_nhiên 
 D. Năng_lượng_hóa_học"
"Bài1 tính bằng cách thuận_tiện nhất a 1021 x3 + 568 x 3 + 411 x3 B 21 + 22 + 23 + 24 + 25 + 26 + 27 + 28 + 29 Phần tiếng việtBài 1 viết câu trả_lời rồi gạch dưới bộ_phận trả_lời cho câu hỏi "" Để làm gì ? """, ,"Viết câu trả_lời cho câu hỏi "" Để làm gì ? "" của bài 1 và gạch dưới bộ_phận đó . 
 A. Để giải phương_trình . 
 B. Để tính tổng . 
 C. Để viết câu trả_lời . 
 D. Để tìm phần tiếng Việt ."
"Cho chất X có công_thức phân_tử C4H8O2 tác_dụng với dung_dịch NaOH sinh ra chất Y có công_thức phân_tử C2H3O2Na . Công_thức của X là 
 A._C2H5COOCH3 
 B. HCOOC3H7 
 C._CH3COOC2H5 
 D. HCOOC3H5", ,"Cho chất Z có khối_lượng phân_tử là 60g / mol tác_dụng với dung_dịch KOH sinh ra chất W có công_thức phân_tử C2H5OH . Công_thức của Z là 
 A._CH3CHO 
 B. C2H5COOH 
 C._C3H7OH 
 D. CH3CH2COCH3"
So_sánh sinh_trưởng và phát_triển ở động_vật và thực_vật Giúp với ạ,So_sánh quá_trình sinh_trưởng và phát_triển ở động_vật và thực_vật ., 
"Khi làm thí_nghiệm với H2SO4 đặc , nóng thường sinh ra khí SO2 . Để hạn_chế tốt nhất khí SO2 thoát ra gây ô_nhiễm môi_trường , nguời ta nút ống_nghiệm bằng bông tẩm dung_dịch nào sau đây ? 
 A. Giấm_ăn 
 B. Muối_ăn 
 C._Cồn 
 D._Xút","Khi làm thí_nghiệm với H2SO4 đặc , nóng thường sinh ra khí SO2 . Để hạn_chế tốt nhất khí SO2 thoát ra gây ô_nhiễm môi_trường , nguời ta nút ống_nghiệm bằng bông tẩm dung_dịch muối_ăn / đường muối . 
 A. Giấm_ăn 
 B. Muối_ăn 
 C._Cồn 
 D._Xút", 
"Quy_luật phân_li độc_lập thực_chất nói về 
 
 
 A : sự phân_li kiểu hình theo tỉ_lệ 9 : 3 : 3 : 1 . 
 
 B : sự tổ_hợp các alen trong quá_trình thụ_tinh 
 
 C : sự phân_li độc_lập của các tính_trạng . 
 
 D : Sự phân_li độc_lập của các cặp alen trong quá_trình giảm phân .","Hãy chọn phương_án trả_lời đúng : Quy_luật phân_li độc_lập thực_chất nói về : 
 
 
 a ) Sự phân_li độc_lập của các tính_trạng . 
 
 b ) Sự phân_li kiểu hình theo tỉ_lệ 9 : 3 : 3 : 1 . 
 
 c ) Sự tổ_hợp của các alen trong quá_trình thụ_tinh . 
 
 d ) Sự phân_li độc_lập của các alen trong quá_trình giảm phân .","Thực_chất của sự di_truyền độc_lập các tính_trạng là F2 nhất_thiết phải có : ( chọn phương_án trả_lời đúng ) 
 
 
 
 A. Tỉ_lệ phân_li của mỗi cặp tính_trạng là 3 trội : 1 lặn 
 
 
 B. Tỉ_lệ của mỗi kiểu hình bằng tích tỉ_lệ của các tính_trạng hợp_thành nó 
 
 
 C. 4 kiểu hình khác nhau 
 
 
 D. Các biến_dị tổ_hợp"
"Ở ruồi giấm , hai cặp gen quy_định màu_sắc thân và chiều dài cánh cùng nằm trên 1 cặp NST thường tương_đồng , cặp gen quy_định kích_thước râu nằm trên cặp NST thường tương_đồng khác . Tiến_hành phép lai P_thuần_chủng : Thân xám , cánh dài , râu_dài x thân đen , cánh cụt , râu ngắn được F1 100 % thân xám , cánh dài , râu ngắn . Cho F1 giao_phối với nhau được F2 có tỷ_lệ thân xám , cánh dài , râu ngắn chiếm tỷ_lệ 54,375 % . Trong số các nhận_xét dưới đây về sự di_truyền của các tính_trạng : ( 1 ) . Ở F2 , tỷ_lệ kiểu hình thân đen , cánh cụt , râu_dài chiếm 5,625 % ( 2 ) . Ở F2 , tỷ_lệ thân xám , cánh cụt , râu ngắn bằng với tỷ_lệ thân đen , cánh dài , râu ngắn . ( 3 ) . Khi lai phân_tích ruồi F1 luôn tạo ra 8 lớp kiểu hình với tỷ_lệ 9 : 9 : 1 : 1 : 1 : 1 : 1 : 1 ( 4 ) . Không xác_định được tỷ_lệ thân xám , cánh dài , râu_dài ở F2 vì chưa xác_định được tần_số hoán_vị . Số nhận_xét đúng là : 
 A. 1 
 B. 2 
 C. 3 
 D. 4", ,"Trong môi_trường axit , chất nào sau đây sẽ tan chảy ? 
 A._Muối . 
 B. Bột sắt . 
 C. Dây_chun . 
 D. Muỗng nhựa . 
 
 Hãy cho biết số chất trong dãy : propanol , butanol , pentanol , hexanol , nonanol , heptanol . 
 
 A. 3 . 
 B. 5 . 
 C. 4 . 
 D. 6 . 
 
 Ở dạ_dày , quá_trình trao_đổi chất diễn ra như thế_nào ? 
 A. Quá_trình tráng ngược . 
 B. Quá_trình thủy_phân . 
 C. Quá_trình oxy_hóa . 
 D. None of the above ."
"Tìm n thuộc N để các phân_số sau có giá_trị là số tự_nhiên a , n + 2 phần 3 b , 7 phần n - 1 c , n + 1 phần n - 1 d , 2n + 8 phần 5 - n phần 5", ,"Tìm n thuộc N để các phân_số sau có giá_trị là số tự_nhiên a , n + 2 phần 3 b , 7 phần n - 1 c , n + 1 phần n - 1 d , 2n + 8 phần ln ( n + 2 )"
"Cho các đặc_điểm sau : ( 1 ) Có CTPT là C2H4O2 ( 2 ) Là este của axit fomic ( 3 ) Thuộc dãy đồng đẳng axit axetic ( 4 ) Là đồng_phân của axit axetic Số đặc_điểm phù_hợp với metyl fomat là ? 
 A. 1 
 B. 2 
 C. 3 
 D. 4", ,"Cho các đặc_điểm sau : ( 1 ) Có CTPT là C3H6O2 ( 2 ) Là este của axit propanic ( 3 ) Thuộc dãy đồng đẳng axit propanic ( 4 ) Là đồng_phân của axit propanic Số đặc_điểm phù_hợp với butyl fomat là ? 
 A. 1 
 B. 2 
 C. 3 
 D. 4"
"Cho kẽm vào dung_dịch axit Clohidric ( HCl ) thu được kẽm Clorua ( ZnCl2 ) và 6,72 lít khí H ( dktc ) a ) Lập PTHH b ) Tính khối_lượng kẽm c ) Tính thể_tích dung_dịch axit Clohidric , 2M cần dùng . [ Giúp mk gấp vs ạ ! HỨA VOTE 5 * VÀ CÁM_ƠN ĐỦ Ạ ]","A ) Kẽm_Clohidric ( ZnCl2 ) và 6,72 lít khí H ( dktc ) được thu được khi cho kẽm vào dung_dịch axit Clohidric ( HCl ) . Hãy lập_phương_trình hoá_học của phản_ứng này ? 
 b ) Tính khối_lượng kẽm cần dùng để thu được 6,72 lít khí H ( dktc ) và kẽm Clorua ( ZnCl2 ) từ phản_ứng trên . 
 c ) Để thu được 6,72 lít khí H ( dktc ) từ phản_ứng trên , cần dùng bao_nhiêu thể_tích dung_dịch axit Clohidric có nồng_độ 2M ? 
 Đề_bài trên đã được viết dưới dạng yêu_cầu giúp_đỡ , vì_vậy không cần thay_đổi các số , giá_trị và tên biến .", 
"Nêu vai_trò và ý_nghĩa của đột_biến gen . 
","Nêu vai_trò và ý_nghĩa của đột_biến gen . 
","Tại_sao đột_biến gen thường có hại cho bản_thân_sinh_vật ? Nêu vài trò và ý_nghĩa của đột_biến gen trong thực_tiễn sản_xuất 
"
"An có nhiều hơn bình 24 viên kẹo , biết rằng nếu an cho bình 6 viên kẹo thì số kẹo của bình bằng 2 phần 5 số kẹo của an . hỏi lúc đầu mỗi bạn có bao_nhiêu viên kẹo ? lưu_ý toán tìm hai số khi biết hiệu và tỉ_số của hai số đó mong các bạn giúp_đỡ", ,"An có nhiều hơn bình mấy viên kẹo , biết rằng nếu an cho bình 8 viên kẹo thì số kẹo của bình bằng 3 phần 4 số kẹo của an . Hỏi lúc đầu mỗi bạn có bao_nhiêu viên kẹo ? Lưu_ý , tìm hai số khi biết hiệu và tỉ_số của hai số đó . Mong các bạn giúp_đỡ ."
"Một xe ô_tô xuất_phát từ một địa_điểm cách bến_xe 3 km trên một đường thang qua bến_xe và chuyển_động với vận_tốc 80 km / giờ ra xa bến . Chọn bến_xe làm vật mốc , chọn thời_điểm ô_tô xuất_phát làm mốc thời_gian và chọn chiều chuyển_động của ô_tô làm chiều dương . Phương_trình chuyển_động của ô_tô trên đoạn đường_thẳng này là 
 A. x = 80 t . 
 B. x = 3 − 80 t . 
 C. x = 3 + 80 t 
 D. x = 77 t .","Một xe ô_tô xuất_phát từ một địa_điểm cách bến_xe 3 km trên một đường_thẳng qua bến , và chuyển_động với vận_tốc 60 km / h ra xa bến . Chọn bến_xe làm mốc , chọn thời_điểm ô_tô xuất_phát làm mốc thời_gian và chọn chiều chuyển_động của ô_tô làm chiều dương . Phương_trình chuyển_động của xe ô_tô trên đoạn đường_thẳng là 
 A. x = 60 t . 
 B. x = 3 + 60 t . 
 C. x = ( 60 – 3 ) t . 
 D. x = 3 – 60 t .", 
"Hợp_chất X có chứa vòng benzen và có công_thức phân_tử là C7H6Cl2 . Thủy_phân hoàn_toàn X trong NaOH đặc dư , t0 cao , p cao thu được chất Y có CTPT là C7H7O2Na . Cho biết X có bao_nhiêu CTCT thỏa_mãn ? 
 A. 3 
 B. 5 
 C. 4 
 D. 2", ,"Có bao_nhiêu CTCT của hợp_chất chứa vòng benzen và có công_thức phân_tử là C6H5Cl2 không được thủy_phân hoàn_toàn trong NaOH đặc dư , t0 cao , p cao để thu được chất Y có CTPT là C6H5O2Na ? 
 A. 3 
 B. 5 
 C. 4 
 D. 2"
"Hai vòi_nước cùng chảy vào một bể_cạn thì sau một giờ đạt $ \ frac { 9 } { 40 } $ bể . Vẫn bể_cạn đó , nếu cả hai vòi cùng chảy vào trong thời_gian 3 giờ 36 phút , khóa vòi I , cho vòi II tiếp_tục chảy vào sau 24 phút nữa thì khóa . Lúc này nhận thấy lượng nước đạt 85 % bể . Hỏi nếu vòi I chảy một_mình thì sau bao_lâu sẽ đầy bể_cạn nói trên ?","Hai vòi_nước cùng chảy vào một bể_cạn thì sau một giờ đạt $ \ frac { 7 } { 40 } $ bể . Vẫn bể_cạn đó , nếu cả hai vòi cùng chảy vào trong thời_gian 4 giờ 48 phút , khóa vòi I , cho vòi II tiếp_tục chảy vào sau 16 phút nữa thì khóa . Lúc này nhận thấy lượng nước đạt 80 % bể . Hỏi nếu vòi I chảy một_mình thì sau bao_lâu sẽ đầy bể_cạn nói trên ?", 
"Một vật khối_lượng m đặt trên đĩa quay đều với vận_tốc góc ω . Vật đã vạch nên đường_tròn bán_kính R Nếu đứng trên hệ qui chiếu gắn với vật ta thấy vật nằm yên . Vậy lực quán_tính có hướng và độ lớn là : 
 A. Hướng vào tâm O ; Fq = m . ω2R 
 B. Hướng ra xa tâm O ; Fq = m . ω2R 
 C. Tiếp_tuyến với quỹ_đạo tròn ; Fq = m . ω2R 
 D. Hướng ra xa tâm : Fq = m . v2R", ,"Một tài_xế lái ô_tô với tốc_độ vừa phải đi vào một khúc cua có bán_kính lòng là R. Nếu tài_xế đứng trên hệ qui chiếu gắn với ô_tô , ô_tô không trượt lệch khỏi đường cua . Vậy_lực ma_sát giữa bánh_xe và đường có hướng và độ lớn là : 
 A. Hướng vào tâm O ; Ff = m . ω2R 
 B. Hướng ra xa tâm O ; Ff = m . ω2R 
 C. Tiếp_tuyến với đường cua ; Ff = m . ω2R 
 D. Hướng ra xa tâm : Ff = m . v2R"
"Trong một hồ ở Nam Mỹ có 2 loài cá khác nhau về màu_sắc : một loài có màu đỏ , một loài có màu xám và chúng cách_li sinh_sản với nhau . Tuy_nhiên , khi nuôi 2 loài cá trên trong bể có chiếu sáng đơn_sắc làm cho cơ_thể chúng có cùng màu thì các cá_thể của loài này lại giao_phối với nhau và sinh con . Hai loài này được hình_thành bởi cơ_chế cách_li nào sau đây ? 
 A. Cách_li sinh_thái . 
 B. Cách_li cơ_học . 
 C. Cách_li địa_lí . 
 D. Cách_li tập_tính .","Loài cá đỏ và cá xám ở Nam Mỹ tách_biệt sinh_sản với nhau và có màu_sắc khác nhau . Nhưng khi nuôi chúng trong một môi_trường có chỉ một màu_sắc , chúng lại giao_phối và sinh con . Cơ_chế cách_li nào đang diễn ra trong trường_hợp này ? 
 A. Cách_li sinh_thái . 
 B. Cách_li cơ_học . 
 C. Cách_li địa_lí . 
 D. Cách_li tập_tính .", 
